,SKU,,KK1,QT,KK2,QT,KK3,QT,KK4,QT,KK5,QT,KK6,QT,KK7,QT,KK8,QT,KITS,ADDITIONAL,TOTAL,TO MAKE,MADE,BAL,Receptacle,Header,Total recept,Total head
ww,SMRTH311,smARtHOST LCD 16x2,,87,,106,,97,1,60,,40,,140,,190,1,220,280,59,339,400,,-400,2,2,800,800
cn,SMRTH312,smARtHOST LCD 16X2 MOD,,87,,106,,97,,60,,40,1,140,1,190,1,220,550,38,588,700,680,-20,2,2,1400,1400
prototyped,SMRTH313,smARtHOST LCD 16X2 PRO,,87,,106,,97,,60,1,40,1,140,,190,1,220,400,109,509,600,,-600,2,2,1200,1200
designing,SMRTH314,smARtHOST WIRES,,87,,106,1,97,1,60,1,40,1,140,1,190,1,220,747,90,837,1000,,-1000,2,2,2000,2000
cn,SMRTH315,smARtHOST FOR ARDUINO MEGA,,87,,106,,97,,60,,40,,140,1,190,1,220,410,40,450,500,500,0,4,4,2000,2000
prototyped,SMRTH316,smARtHOST IMPEE,,87,,106,,97,,60,,40,,140,,190,,220,0,470,470,500,,-500,2,2,1000,1000
cn,SMRTH317,smARtHOST IR,,87,,106,,97,,60,,40,,140,,190,,220,0,271,271,300,300,0,2,2,600,600
prototyped,SMRTH318,smARtHOST XBEE,,87,,106,,97,,60,,40,,140,,190,,220,0,273,273,400,,-400,2,2,800,800
designed,SMRTH319,smARtHOST MP3,,87,,106,,97,,60,,40,,140,,190,,220,0,89,89,100,,-100,2,2,200,200
running,SMRTH320,smARtHOST MEMORY XL,,87,,106,,97,,60,,40,,140,,190,,220,0,166,166,200,,-200,2,2,400,400
running,SMRTH321,smARtHOST POWER BOOSTER,,87,,106,,97,,60,,40,,140,,190,,220,0,253,253,300,,-300,2,2,600,600
prototyped,SMRTH322,smARtHOST BT,,87,,106,,97,,60,,40,,140,,190,,220,0,121,121,200,,-200,2,2,400,400
designing,SMRTH323,smARtHOST BTLE,,87,,106,,97,,60,,40,,140,,190,,220,0,28,28,50,,-50,2,2,100,100
prototyped,SMRTH324,smARtHOST STEPPER,,87,,106,,97,,60,,40,,140,,190,,220,0,257,257,300,,-300,2,2,600,600
cn,SMRTH325,smARtHOST RELAY,,87,,106,,97,,60,,40,,140,,190,,220,0,226,226,300,300,0,2,2,600,600
designed,SMRTH326,smARtHOST RFID/NFC,,87,,106,,97,,60,,40,,140,,190,,220,0,79,79,100,,-100,2,2,200,200
prototyped,SMRTM501,smARtMOD LCD 16x2,,87,,106,,97,,60,,40,,140,1,190,1,220,410,25,435,500,,-500,2,2,1000,1000
cn,SMRTM502,smARtMOD LED 5TO5D,,87,,106,,97,,60,,40,1,140,1,190,1,220,550,469,1019,1200,1200,0,2,,2400,0
cn,SMRTM503,smARtMOD BUTTON 5TO5A,,87,,106,,97,,60,,40,1,140,1,190,1,220,550,147,697,800,800,0,2,,1600,0
cn,SMRTM504,smARtMOD BUTTON 5TO5D,,87,,106,,97,,60,,40,,140,1,190,1,220,410,326,736,800,800,0,2,,1600,0
cn,SMRTM505,smARtMOD BUTTON 5TO1 A,,87,,106,,97,,60,,40,,140,,190,,220,0,221,221,400,400,0,2,,800,0
cn,SMRTM506,smARtMOD RGB LED,1,87,1,106,1,97,1,60,1,40,1,140,1,190,1,220,940,0,940,1200,1200,0,2,,2400,0
ww,SMRTO901,Micro USB cable,1,87,1,106,1,97,1,60,1,40,1,140,1,190,1,220,940,257,1197,1200,4000,2800,,,0,0
ww,SMRTO902,Power adapter cable,1,87,1,106,1,97,1,60,1,40,1,140,1,190,1,220,940,368,1308,1500,1500,0,,,0,0
ww,SMRTO903,Power supply 12V 1A,,87,1,106,1,97,1,60,1,40,1,140,1,190,1,220,853,99,952,1000,1500,500,,,0,0
cn,SMRTO904,Power supply 12V 3A,,87,,106,,97,,60,,40,,140,1,190,1,220,410,41,451,460,460,0,,,0,0
standby,SMRTO905,USB Host Cable,,87,,106,,97,,60,,40,1,140,1,190,1,220,550,144,694,700,,-700,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
designed,FRSCA001,smARtBUS Adapter for FreeSoC,,,,,,,,,,,,,,,,,366,66,432,500,,,2,,1000,0
prototyped,TINYA001,smARtBUS Adapter for TinyDuino,,,,,,,,,,,,,,,,,338,60,398,500,,,,2,0,1000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,35418,40810,,,,,65500,73300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ww,,In stock worldwide,,,,,,,,,,,,,,,,,,,,,,,,,,
cn,,"Production completed, in stock China",,,,,,,,,,,,,,,,,,,,,,,,,,
running,,Production running,,,,,,,,,,,,,,,,,,,,,,,,,,
approved,,"Design completed and approved, waiting for production run",,,,,,,,,,,,,,,,,,,,,,,,,,
prototyped,,Design completed and final prototype made waiting final approval,,,,,,,,,,,,,,,,,,,,,,,,,,
designed,,"Design completed, sample PCB made, final prototype not ready",,,,,,,,,,,,,,,,,,,,,,,,,,
designing,,Design not completed,,,,,,,,,,,,,,,,,,,,,,,,,,
standby,,In standby,,,,,,,,,,,,,,,,,,,,,,,,,,
